circuit,contribution_number,contributor_tag,username,github_numeric_id,contribution_hash
OPRFKeyGenProof13,114,dcbuild3r-19372745,dcbuild3r,19372745,4d43142912461b172e14232b6b1c878b48248de8b8f1340c18e93c6dcf2c4b10f447a3d78be20b16772080d62cefb8e1248bfc91816d34da07bacde25c384fd2
OPRFKeyGenProof13,113,Bauxandru-110482800,Bauxandru,110482800,6b490f2a59c7dfaf44533513576879cb736bba398a75df1f096da66d1377419fd3ed3a4ad5ad4358a8a1535e8e6ae9c595df3881ae8960f394c39ea1edfa0e40
OPRFKeyGenProof13,112,nvmb3r-24656497,nvmb3r,24656497,bbb62a69c6d8920f821f23e87b7afc24bad1b1f2643e2d489de5ec9c29ce43530d91a8a0f99c9c7679e370356666f2b05b4d10d5b334d60aedaec72023544b6d
OPRFKeyGenProof13,111,Timidan-25876969,Timidan,25876969,5f61bf5847772bd54b108a1ad07d770b40c7be0cb43895ef62d953685ca9f8550f647f58ef769bc395c891b621079a95739fa9b6696cb09e6412a7da1e883aba
OPRFKeyGenProof13,110,0xsamuel201-254874230,0xsamuel201,254874230,db91b0e84fd6ba066cbc32114e97714f26588148aa9e738de47305bc884905498c8854b26dd90cebbd7b0b937acf4b892b82c5c3790b2e7cf631746664fcb44b
OPRFKeyGenProof13,109,yaksetig-6273527,yaksetig,6273527,cc8a35a918a0924cbf3704c2c38364820e38ee575426cb2158170f670559089d22c30474c4cfef4388443685aba74f6247dc90d5192032e5c9d5fabbb7da91f0
OPRFKeyGenProof13,108,bin-umar-15624993,bin-umar,15624993,f5fa706d1423e02f25a868987cfb5a4755939458d0d1e528872cee1043bed7117639a7ed0c86b60644a924254e215811f568b9dca0a7e52ef1da7f87c934195c
OPRFKeyGenProof13,107,stefanrosscohen-25508137,stefanrosscohen,25508137,acfb9c32f6a36db7b3e845fccb4b80b47bea9d4f479db7dc840490e0f2b6d682b9bfb26daca3bf25e0c07278f352603e7b95fc12de09dfbaa60285fabeee3a30
OPRFKeyGenProof13,106,phuchoangle-85084960,phuchoangle,85084960,cbb6b5db1c68a35fd0439ca8f85338449c5398f8077c23feb757acc54bf7eca2a55110bb3eaf1b6a2e190efe791f86a491801f69583b1422603b0b9b94b594a6
OPRFKeyGenProof13,105,weiihann-47109095,weiihann,47109095,2317394dfbeb9b360375c6edb107a53e437b2dbf42e5626c0572686f9678f3dafabeddf02058ab7d368ac93e1362e97697b714a17d7489c34a8ca27d7c297456
OPRFKeyGenProof13,104,nlok5923-56120084,nlok5923,56120084,a11c8ceeba1b3336e7be79ca850163824e91050fba02588074feab7cc8adac76f758dfc46dc473f5f75814d5490f776cb99cac6bd5846ddc0d24ded2cd6585c3
OPRFKeyGenProof13,103,bellonoff-44303121,bellonoff,44303121,c841e27f78c939fa82effe14784e48bfe7f10e67025d45118ffcb3e98c68eb8e60cade8a04f687ae6627430bb82343b953d1dd08d5b62299b1e4f51a677db7ed
OPRFKeyGenProof13,102,mterencelao-39520018,mterencelao,39520018,e03cb260c950911c964316abaa1c0edf0140437e25ccfa5efa3ff15b38988a57cab99715f4f5cedc50135738e5c690c63b853b1fad80522ed695d16bd299fc06
OPRFKeyGenProof13,101,dfelix4247-99686091,dfelix4247,99686091,cb32b0c70bf7aa451449b1ccb6f233522cf7ebec1b52455c7664e83965ef03142ded282b01c29e707f7e49b199d5e5290e8e97b09192d96d10a2969b62ec9e28
OPRFKeyGenProof13,100,r4keta-78550627,r4keta,78550627,60470fb0b769656ac57b880b4a50f6ae29b6175fa4e4686b2d4b65c243175b8918d27e23ead815117a4da5713f3f548e2cad4762a3db621836416f92ac333f2d
OPRFKeyGenProof13,99,dorakingx-120563040,dorakingx,120563040,e968a2d3f5207641c4efcd062ba4f6dac6ed9a2994a31bcf7fb103bffcb357eafac4830ce8e22d5c73659bb9f6f36965656538844d46aad7b5a5fc26c8207dcb
OPRFKeyGenProof13,98,Drewsapple-4532572,Drewsapple,4532572,f5a1aa9534eb8fa9fd9a922b3965a2b445b9cd478eeb213b703f18ee2910088cf57c5f60d2e307997ca5d64aa031eff28fd4878416c879018ce4af5d019bc655
OPRFKeyGenProof13,97,Soyelska-166346362,Soyelska,166346362,1c53b985a1fbdd1c54a83e0815866f589f606aa05665baef54dde44d13b134927ff0c7bd28b2f29dcedc033123c38b5ceb8da689fd9644979e9e364871f65822
OPRFKeyGenProof13,96,eltociear-22633385,eltociear,22633385,c5ec2d65e00fccd6912ca6b57fb60d6627e09f6b981e241dbbf6260069faf191b8bedc836c25c31eb9dcca5b9e558695ecbbae26d237febecdce9dd9d67c1870
OPRFKeyGenProof13,95,wanisili-11951574,wanisili,11951574,878be5fd5097501f7181b819e781e221ad1a63ab7ba6b7448ed978989900c9beffbe82ec7dc5b13905dca6ec87d55c6aa62517bfd4f6c3f00e6aa1b9dfdd06d1
OPRFKeyGenProof13,94,abcoathup-28278242,abcoathup,28278242,8698f01d546f5f30a7a2f7db0a14020a69126f07de39ffa95bc8fa404c600ccec8a7320be0c3f29e87dded7af963f8379adbddc13dadd900a7071e3d78d72ecd
OPRFKeyGenProof13,93,gumieProf-42506694,gumieProf,42506694,31c18366ad6a5a63bdc915b5755bd97a91a73843be146028b1d5f5f0a4e7e2d8a6fc5c3835d6afee4b6974491bfc230dda25e530a49d7ed5936760e8f867e373
OPRFKeyGenProof13,92,yinxinyu-byte-231146396,yinxinyu-byte,231146396,128b04431650c6f2968fdb4215522561782db7cf2b6141e3aab7e61c9af1ca346663d5e6f7fca0ddac086adaa947fee3525c19561c33f6339f2523f12e1128e3
OPRFKeyGenProof13,91,HirokiTajima-69999450,HirokiTajima,69999450,66cafc162175f07579b4368f1c604a31786b1cbd6bdb6a75e15070b6cb5ae642551170c745f46f7b59989658f86552a9986e86b15c820933badb1d6a9b668bc3
OPRFKeyGenProof13,90,sknuth-1335403,sknuth,1335403,dce2996a5d1a20601c4ca8d2e290da81e6435202a4efdc64e61cb423a1390e5b6547fb4ee2923210c5ed6be6a10af11c792b3754e52a77b581c6c517def6d58f
OPRFKeyGenProof13,89,nakedible-p-7881228,nakedible-p,7881228,3697817ae5cd7f6a3940cf8b6221ec87e50dbc520a63b62f9475c48359f8436d9e16cf7a39bd6177b29d916198b7fd377f6d66b4c5810fe55f0489d5a7fc2848
OPRFKeyGenProof13,88,sm-stack-94497407,sm-stack,94497407,c83f78329d490eb91d2f21296062b554d63fe4c22e4d8149f5b3a9329ccb44de5fe8919c1e320637eccbcbe25240c81b8ee026c89b47d91e071460ec8040bf7b
OPRFKeyGenProof13,87,akiraexe-3870354,akiraexe,3870354,7720a2dc4babf9dfc204f305b319393c7789cdc6f21da349adfa5e3a6d22ba793315e695d0095bd2604dfae4cfa01724758b09389c4984dd9ecd5aaafe5dfc3d
OPRFKeyGenProof13,86,donotfx-78243236,donotfx,78243236,8c234eead531f9ddd03c087623b2b5c2b4ebd0a367451605202c705352587ad48e4cc23cf3a548c6b89627490aad40841d4ea381ec6b076aea3a91bdb88ea9c2
OPRFKeyGenProof13,85,ryo1111-qqq-128875452,ryo1111-qqq,128875452,26d3022b73a807c4cc152d0d306edfab1fbea200380df0749f21330eee952d615b82210de059427c6eb31a3e02e4969ead6e2b8969b7b0c594ac0868f014cc54
OPRFKeyGenProof13,84,fptbb-11043049,fptbb,11043049,69ec4e32be4400b590b21e45e20b104ba41cae8b7b4f1358f23a49317b933e651ded76a606fedd93e394bf1b23e66bf024159297a63f2954181b0a793813badb
OPRFKeyGenProof13,83,Soulllvision-107340595,Soulllvision,107340595,90b67e147fa557eb568f5f9bbbe084561757130cacbc3e5a56e9d278304748402400dd540b32ee4f9933bfb60dee3e081e6d2eefeaf830492f6a32232016d817
OPRFKeyGenProof13,82,cryptohakka-37664558,cryptohakka,37664558,88c33c522fc24e974d3b37d85e7fb88a034c2aca036a7f24fa81a976b8697306bb44ec4ff74d1523f419fb40147431808968a8d592f758df0072bebfb468e758
OPRFKeyGenProof13,81,v0-e-134806759,v0-e,134806759,f967e6e5e71d7e420b8fb1b2f10b07b4bb25d6aecbf94f3a4c6223abaf658d2388c8ed5096ade4bd0b15d2a735adf8a9b96e1f89b05af07dfa9d7a1e28909e56
OPRFKeyGenProof13,80,jakepm-6839086,jakepm,6839086,65e8741fa874f847cd7ba9ce206958cfa1714b4b205b8be3a1d299fee36460961587a94421e01e9cea265dc04b7cd30604f05b2f73d50318172dde8e1327e405
OPRFKeyGenProof13,79,foundmind-177700626,foundmind,177700626,30193234dc609daf97d16ac2634621c408e9b6b1daad0abb2624363a044f90719f2364eb207f4fd337508402d3e81b464268bb3d2f09a7b4059b523624397172
OPRFKeyGenProof13,78,barchef-487376,barchef,487376,53e4f5a380a5a563e757c70441f81f0bbb312537f0e5e47a31aed788b5042b706af34620e9926cdbb297ec6a1c63a09423b892763331072de86636adcb58a665
