username	gist_url
0xForerunner	https://gist.github.com/0xForerunner/9ce466bfd2a31bde845104be73640a37
0xPenryn	https://gist.github.com/0xPenryn/0b8bc681bffe0fdaf12c90c1f57a660e
0xThemis	https://gist.github.com/0xThemis/a6faed7f0bd496410ce41f02db260d2c
0xVikasRushi	https://gist.github.com/0xVikasRushi/a1d56af2427d3ea55638e26c226207de
0xsamuel201	https://gist.github.com/0xsamuel201/b33eef52ce7da207bd4ff3f54d157ad9
Adeyemir	https://gist.github.com/Adeyemir/112921cc5c595e3fa431adcfde2517e7
Bauxandru	https://gist.github.com/Bauxandru/03ba7847e57176c21d9f1fddd713590c
Bisht13	https://gist.github.com/Bisht13/3d5095818c84255b6908f3f97b6d0162
Drewsapple	https://gist.github.com/Drewsapple/3f2515e4eacf95e14d555ca1737641ac
Dzejkop	https://gist.github.com/Dzejkop/62c11a32cb0cd3991eecf99ed21fa19c
FilipLaurentiu	https://gist.github.com/FilipLaurentiu/a1f1e01b23281a80d83fcb40b2be3142
Gugi264	https://gist.github.com/Gugi264/335e13a628bdc2e62c798a4e73a35fb3
Iceyrim	https://gist.github.com/Iceyrim/276a461d84d33e35c7e23e88cafc9225
JorikSchellekens	https://gist.github.com/JorikSchellekens/bdf3d2d075c3eab1bf84aca061b2fc1e
Kemperino	https://gist.github.com/Kemperino/6041a337632d0d9cd2891ff3687c171b
MBelegris	https://gist.github.com/MBelegris/36a3e2a50269d68779380b7ae1fb6b91
Mimzoge	https://gist.github.com/Mimzoge/e96f5e08a03cd6958eabd2cc530db307
Nassami1	https://gist.github.com/Nassami1/03549c2cf2d210f37fab7f7a68333e95
NiDimi	https://gist.github.com/NiDimi/bc9087365c31174c25547544f719c83b
NickTFH	https://gist.github.com/NickTFH/60e0fc9c5e858012c1f6c919ee033a60
Oghma	https://gist.github.com/Oghma/9ed64ea2c19c7f2c923491c3138c9fe0
SamiiBou	https://gist.github.com/SamiiBou/56a31e098c9c8a61657b10cef81ce992
SeanROlszewski	https://gist.github.com/SeanROlszewski/acc2bee9f6f4c7298e586b0a2b46def0
Shlummie	https://gist.github.com/Shlummie/a51f141b9bb98e52823df863813b339e
Soulllvision	https://gist.github.com/Soulllvision/8b30688f5273d3a4b131d8cf693d616a
Soyelska	https://gist.github.com/Soyelska/47f2af13f00e7ecd08af6ef2f8abd4ef
Takaros999	https://gist.github.com/Takaros999/41ea3a51706ec639977f5cccae4df15c
Timidan	https://gist.github.com/Timidan/55a057d719de50a344e7a7dd0287b3fd
abcoathup	https://gist.github.com/abcoathup/93080dfe08135937daaef0540d38e6c0
akiraexe	https://gist.github.com/akiraexe/28825004da6e374df1aff6c3b97847d4
alessandromazza98	https://gist.github.com/alessandromazza98/2fe64413efcd87fc2d0fb8e07320b76b
amirylm	https://gist.github.com/amirylm/5a796ce4571c11503c622b8456e1fe4d
andy-t-wang	https://gist.github.com/andy-t-wang/cfe89c81a7410d168ca70f606ac9f8bc
andyguzmaneth	https://gist.github.com/andyguzmaneth/3e55337a88b74ac89ffebd4b07418c9d
asurak	https://gist.github.com/asurak/735b91936c7118840097a3b57bf8e575
barchef	https://gist.github.com/barchef/d54e3b85ea610191423b98774d0bfbbc
bellonoff	https://gist.github.com/bellonoff/9af3c5c5731922b059201758879301e3
bin-umar	https://gist.github.com/bin-umar/ec8cb2656a020aaecf5e3b5d77fe13e7
bru02	https://gist.github.com/bru02/744ab41d1001addba08a97e776488871
cryptohakka	https://gist.github.com/cryptohakka/f7a671ed7c3947137ddb7d3fcd1d48ae
dangirsh	https://gist.github.com/dangirsh/dd2cafb56fb67bfe60bedabf35e6000c
danielllek	https://gist.github.com/danielllek/a8183ce898eb0beee1e58d2df1048fe1
dcbuild3r	https://gist.github.com/dcbuild3r/40cd582f9509fb111790c7cf00fb0b49
decentralgabe	https://gist.github.com/decentralgabe/83451090f41f6f19b466d75cc6e12acb
dfelix4247	https://gist.github.com/dfelix4247/527047e1410b95fa317fa7e1f13fddf2
donotfx	https://gist.github.com/donotfx/0900d43788b34c4ae5d722ef0727e874
dorakingx	https://gist.github.com/dorakingx/705bc451d536366d79b30e8cda866cd6
dru	https://gist.github.com/dru/b18996dbd136de8a9ef8ad3a823e370b
easonchai	https://gist.github.com/easonchai/0d7dccd1da2310716532649324ba3970
ec2	https://gist.github.com/ec2/7238dd8f204337ab3274166a5eadadc2
eltociear	https://gist.github.com/eltociear/2d8a4f0bae37c401315c2e1fa413cf60
emilianobonassi	https://gist.github.com/emilianobonassi/8495c751f03dd04a26f465996702a4ef
flipchan	https://gist.github.com/flipchan/dfc41b166e7b1e5e766ec686cc00c7fd
foundmind	https://gist.github.com/foundmind/2a6efd0330ab637a66d2a4f3e942e8b8
fptbb	https://gist.github.com/fptbb/983984728caabd535e91c3db72a3c422
giosereth	https://gist.github.com/giosereth/edad4acac9f8d7aa6297a15db52d1e34
